question,option_a,option_b,option_c,option_d,option_e,correct_answers
CM Select the right statements about upper gastrointestinal bleeding:,"In the elderly, upper gastrointestinal bleeding stops more easily than in young people",It is important to differentiate bleeding from ulcer from bleeding  caused by esophageal varices,Waiting for 48 hours to perform medical hemostasis,It is operated after 48 hours to reduce mortality,The hemorrhage source is located up to Treitz,"A,B,D,E"
CM Select the features of Zollinger-Ellison Syndrome:,Increase of basal nocturnal secretion,Constipation,Frequent and acid vomiting,Frequent upper gastrointestinal bleeding,"Intensive, continuous epigastric pain with nocturnal crisis","A,B,E"
CM Select types of atypical ulcer perforation:,Sealed (Covered),Blind perforation,Perforation of the posterior duodenal wall,Perforation of the cardiac part of the stomach,In the free peritoneum,"A,C,D"
MC Select discirculatory hypoxic ulcers that occur as a result of deficit gastrointestinal protective factors,Atherosclerotic ulcer,Curling's ulcer,Cushing's ulcer,Hypovolemic shoc ulcer,Ulcer of Zollinger-Ellison Syndrom,"A,B,C,D"
"CS In thoracic trauma, thoracotomy is indicated in the following clinical situation:","In the simple costal fracture, to stabilize the fracture and prevent the worsening of the lesions",If on the thoracostomy tube is exposed hemorrhage with a flow rate over than 300ml / h in more than 3 hours,If on the toracostomy tube there is initially a volume of 1000 ml of blood,If after 2 hours the toracostomy tube is placed there is still air flow on the drain,If initialy on the toracostomy tube a large amount of air originally appears,B
"CS For the pulmonary contusions, the following statement is correct:","The gravity of the contusion is assessed by pulmonary radiography, CT being unnecessary in these cases",Often the exploratory thoracotomy it is required,"They can take serious forms, even by developing of the shock lung (post-traumatic ARDS)",There are always minor and superficial injuries that require only medical treatment,They are produced exclusively by closed trauma,C
CS Select the false statement for the traumatic lesions of the esophagus:,They may be spontaneous,Frequently associates with pleural lesions,Currently the most frequent are iatrogenic lesions,Surgery is recommended within the first 24 hours,The FEGDS is a mandatory diagnostic test that confirms the presence of the lesion,E
CS Select the most feasible sign for traumatic aortic lesion in simple chest X-ray:,Obliteration of the aortic-pulmonary window,Compression of the main bronchus on the left,Displacement of the trachea,Enlargement of the mediastinum,Abnormal contour of the aorta,D
CS Aortic lesions are more commonly caused by:,Wounds caused by a white weapon,Wounds caused by a firearm,Crushing the chest,Closed trauma by deceleration,Closed trauma by a hit from back,D
CM Select the false statement for haemothorax:,There is a build-up of blood in the pleural cavity,The most common source are intercostal vessels,Severe obstructive respiratory insufficiency occurs,It may be the cause of restrictive respiratory disorders,Always requires thoracotomy,"C,E"
CM In thoracic traumas thoracocentesis is:,"A complex maneuver, with a risk of bleeding and other major complications, which will only be performed by the chest surgeon in the operating room",It dramatically ameliorates the condition of the patient with massive pneumothorax,"It's  a purely curative manoeuvre, not diagnostic",It can be therapeutic,It can be diagnostic,"B,D,E"
CM Thoracocentesis is performed taking into account the following correct statements:,It has many risks and is not indicated in the absence of a definite diagnosis,It is indicated in haemothorax,It is indicated in all cases of pneumothorax,It can be therapeutic,It's purely diagnostic,"B,D"
CM The volume of surgical intervention in cardiac  tamponade in trauma consists of:,The blood from the pericardium is evacuated,Allows direct cardiac massage,Antero-lateral thoracotomy is the most useful approach,Median sternotomy allows a quick and wide access,The pericardium is sutured hermetically to protect the heart,"A,B,C"
CM Sternal fractures are characterized by:,Fractures without displacement are not excluding the presence of intrathoracic lesions,The uncoupled safety belt presents a risk factor,It is usually associated with coastal fractures,Appear frequently in car accidents,The coupled safety belt presents a risk factor,"A,B,C"
CM Flail chest causes:,Decreased cardiac output by mediastinal balancing,Decreased ventilation due to paradoxical breathing,Paradoxical breathing with moving the flail chest inside during expiration,Decreased effective ventilation due to oscillatory respiration,Paradoxical breathing with moving the flail chest outside during inspiration,"B,D"
CM Cardiac lesions from thoracic trauma can be characterized by the following correct statements :,Wounds are more common than concussions,The presence of pericardial blood requires emergency surgery,Pericardic murmur is a constant sign,The Beck triad is constantly present,Contusions are more common than wounds,"B,E"
CM Chose the indications for thoracotomy in thoracic trauma:,There is initially 1000 ml of blood on  the drainage tube,Bleeding at a rate of more than 250 ml / hr for 2 hours,Haemothorax with coagulated blood,Bleeding at a rate of over 50 ml / hr for 5 hours,Bleeding at a rate of more than 100 ml / hr for 2 hours,"B,C"
CM Emergency treatment of traumatized with flail chest consists of:,Treatment of respiratory insufficiency,Immobilization with bandages attached with adhesive tapes,Immobilization with circular bands of the chest,Permanent immobilisation of the chest by external restriction,Treatment of acute cardio-circulatory insufficiency,"A,B,E"
CM Specify clinical changes in a patient with suffocating pneumothorax:,Cyanosis,Dyspnoea,"Filiform pulse, tachycardia",Bradypnea,Agitation,"A,B,C,E"
CS Indicate the statement that characterizes the traumatic lesions of the viscera:,Colonic lesions require resection and anastomosis indifferently of extension due to contamination with faeces,Intestinal lesions that interest less than ½ of the intestinal circumference can often be sutured,Antibiotic prophylaxis for 24 hours is sufficient,The gastric wounds are not sutured but drained through temporary gastrostomy,Abdominal visceral lesions are most often the result of closed trauma,B
CS Choose the most common clinical sign in retroperitoneal hematomas:,Pollakiuria,Spasm of lumbar muscles,Dysuria,Renno-ureteral colic,Haematuria,E
CS Indicate postoperative post-splenectomy specific complication:,Pancreas lesion,Haemoperitoneum,Systemic infections with encapsulated germs,Postoperative eventration,Postoperative wound suppuration,C
CS Pringle maneuver for the temporary control of haemorrhage in exploratory laparotomy is:,Application of local haemostatics,Digital clamping of bleeding sources,Median xifo-pubic incision,Hepatic pedicle clamping in bleeding from hepatic rupture,Clapming of the splenic hillum in delayed splenic rupture,D
CS Select the correct treatment method for penetrating perforating wounds:,Administration of analgesics and wound monitoring,Wound dressing associated with antibiotic therapy,Vaccination against pneumococcal infections,"Laparotomy, exploration of the entire digestive tract and lesions treatment",Stimulation of intestinal transit,D
CS Indicate the most common complication that may occur as a result of pancreatic trauma:,Generalized septic peritonitis,Massive haemoperitoneum,Subphrenic abscess on the right,Acute pancreatitis,Chronic pancreatitis,D
CS Select the surgical management in case of spenic injuries with haemodynamic stability:,Splenectomy,Antibiotic therapy,Vaccination against pneumococcal infections,Coastal fractures immobilization,Non-operative treatment,B
CS Select the mandatory measure in all cases of abdominal wounds:,Exploratory laparotomy,Tetanus prophylaxis and antibiotic prophylaxis,Non-penetrating wounds - exploring of the entire digestive tract,Diagnostic laparoscopy,Computed tomography,D
CS The cause of patient agitation in the onset of hemorrhagic shock is determined by:,Vasoconstriction,Anxiety,Decrease in circulating blood volume,Insufficient brain oxygenation,Tachycardia,E
CS Intraabdominal haemorrhage is defined as:,Haematemesis,Haemobilia,Epistaxis,Haemoptysis,Haemoperitoneum,"B,C"
CM Select the statements that characterize closed abdominal trauma:,"In case of impact on lateral areas of the abdomen, the hollow organs are mainly affected",Intestinal lesions are more rare and can be omitted at the initial clinical examination,The deceleration lesions are predominantly encountered in traffic collisions,The supramezocolic floor lesions are constantly accompanied by fractures of the pelvic bones,Central abdominal contusions are involving in particular parenchymal organs,"A,B,C,E"
CM Abdominal wounds may have the following characteristics:,Those produced by blunt objects associate with the destructive effect of contusion,Those produced by firearms are usually serious,Tetanus prophylaxis is mandatory,Those produced by white weapons are usually multiple and associate vascular lesions,They are classified as penetrating and non-penetrating,"B,C"
CM Specify the correct elements of exploratory laparotomy in abdominal trauma:,Intestinal lesions prevent abdominal contamination,"The incision is median, xifo-pubic",Pringle maneuver is performed in case of hepatic bleeding,"In important contamination, the skin is sutured",It is only indicated after identification of the traumatized organ,"B,C"
CM Non-operative management of liver and splenic lesions in abdominal contusions is characterized by:,The presence of extra-abdominal related lesions it is a contraindication for non-operative treatment,"In case of failure for non-operative treatment, surgery is mandatory",CT examination is mandatory in identifying lesions and initiating the treatment,Most splenic trauma actively bleeds and can not be treated non-operatively,It is contraindicated in patients with hemoperitoneum,"B,E"
CM Select the statements that characterize surgical tactics in splenic lesions:,Prevention of serious infections is by vaccination in the first 41 days,Non-operative treatment is considered as the first intention,Hemostasis is obtained exclusively by electrocoagulation and suture,Surgery is attempted as often as possible,"If surgical intervention occurs, the total or partial preservation of the spleen is attempted","A,B,C,E"
CM The clinical signs of hypovolemic shock are the following:,Decreased TA (systolic <90 mmHg and mean TA <50-60 mmHg),Tachycardia,Tachypnoea,"As result, increased of urinary flow with polyuria ocurs",Alteration of consciousness,"A,B"
CM Choose the contraindicated diagnostic methods in patients with unstable haemodynamics:,Computerized tomography,Laparoscopy,Thoracentesis,FAST,Laparocentesis,"A,B,D"
"CM Indicate the elements of the ""Lethal Triad"" in polythematized patients:",Hypothermia,Acidosis,Anuria,Coagulopathy,Adult Respiratory Distress Syndrome,"A,B,D"
CM Select diagnostic methods for assessing abdominal muscle lesions:,Diagnostic peritoneal lavage,Laparoscopy,Computerized tomography,Thoracoscopy,Abdominal ultrasound,"C,E"
CM Specify hemostasis methods used to solve hepatic lesions:,Widening of the liver lesion by suturing or ligating the source of hemorrhage,Tamponade of transfixant liver wound,Injection of local hemostatics into superficial liver lesions,Diathermocoagulation of superficial liver lesions,Perihepatical meshing (packing),"A,B,D,E"
CM Lesions of what organs will manifest clinically by peritonitis:,Gallbladder,Ileum,Kidneys,Spleen,Colon,"A,B,E"
CM Select the evolutionary phases in the post-traumatic period in patients with diaphragm lesions:,Infiltration,Abcedation,Delayed rupture,False amelioration,Herniation and strangulation,"D,E"
CM Select the features of the supraaponeurotic haematoma:,Detachment of the skin and subcutaneous cellular layer from aponeurosis,Appreciation of fluctuating collection on palpation,The cold and cyanotic teguments,It may be accompanied by false peritoneal syndrome,Puncture is the indicated surgical management,"A,B,C,E"
CM Abdominal radiography in the diaphragm rupture consists in:,Hypertransparency of the organs that migrated into the thoracic cavity,Ascending the affected hemidiaphragme,Hydroaeric levels,Pulmonary atelectasis,Movement of the mediastinum to the affected part,"A,B,C,D"
CM Indicate criteria for non-operative treatment in liver and splenic lesions:,Stable hemodynamics,Absence of peritoneal signs,Unconsciousness,The presence of associated lesions,Computed tomography is mandatory in assessing the severity and evolution of lesions,"A,B"
CS Indicate the form of peritonitis that evolves without the presence of pathogenic germs:,Primary,Secondary,Tertiary,Specific,Postoperative,C
"CS In a 46-year-old patient who underwent appendectomy for acute gangrenous appendicitis, on the 5th postoperative day there have appeared obtuse pains in the suprapubic region, tenesmus, severe pain in defecation and dysuria, fever 37,8- 38,5°C. What is the presumptive diagnosis?",Acute paraproctitis,Acute anorectal thrombosis,Diffuse peritonitis,Abscess of Douglas space,Acute pyelonephritis,D
CS Indicate the most common causes of peritonitis:,Acute intestinal obstruction,Perforated gastroduodenal ulcer,Acute salpingitis,Acute appendicitis,Gastric cancer,D
CS For acute peritonitis is NOT characteristic:,Muscular abdominal contraction,Courvoisier symptom,Tachicardia,Retention of gas and faecal excretion,Vomiting,B
CS Indicate the main clinical sign in acute  peritonitis:,Vomiting,Abdominal pain,Bloody stool,Retention of gas and faecal excretion,Fever,B
"CS Acute peritonitis may be secondary to the following conditions, EXCEPTION being:",Perforation of Meckel’s diverticulum,Crohn illness,Stenosis of Vater papillae,Richter strangulation,Acute intestinal obstruction,C
CS Indicate the surgical gesture in Douglas  abscess:,Ecoguided puncture of the abscess through peritoneal cavity:,Evacuator enema,Opening and draining the abscess by lower median laparotomy,"Puncture, transrectal opening and draining of the abscess",Only conservative treatment,D
CS Indicate the most suggestive sign for establishing the diagnosis of acute postoperative peritonitis:,Fever,Pain,Pneumoperitoneum,Persistent intestinal ileus,Diuresis,D
CS  A 70 years old pacient with a history of heart attack  prezents the clinical picture of generalized peritonitis with a 5-day onset. Indicate the  medical-surgical tactics:,Emergency surgery after 24 hours of preoperatory preparation,Immediate surgery after administration of cardiotonic  drugs,Immediate surgery after hydro-electrolytic repletion,No need for preoperatory preparation,Emergency surgery after the establishment of diagnosis with correction of  the heart failure,C
CS  In a patient with acute diffuse fecalide peritonitis  during the laparotomy there has been detected a resected neoplasm of the ascendant peritonitis with perforation of the proximal tumor intestine.Indicate the volume of the operation:,Suturing of the  perforation with the application of  ileotransversoanastomosis,Right hemicolectomy with terminal ileostomy,Suturing of perforation with application of terminal ileostomy,Suturing of perforation perforației with drainage  of peritoneal cavity,Appling cecostomy with perforation suturing,B
CM Indicate the etiologic treatment of the acute peritonitis:,Antibioticotherapy,Pleurostomy,Lavage of peritoneal cavity,Surgical treatment,Corticotherapy,"A,C,D"
CM List the consequences of acute peritonitis at systemic level:,Metabolic alkalosis,Metabolic acidosis,Respiratory acidosis,Liver failure,Kidney failure,"B,D,E"
CM Specify the symptoms that facilitate the diagnosis of postoperatory peritonitis:,Persistent fever,Presence of  hyperperistaltism,"Acute kidney failure, acute respiratory failure",Purulent secretions through the wound/on drainage tubes,Presence of pneumoperitoneum,"A,C,D"
CM Specify the clinical signs present at abdomen palpation in secondary diffuse peritonitis:,Presence of liver dullness,Muscle defense,Shielded dullness on the flanks,Fluctuation in the right iliac beam,Epigastric depression,"B,C"
CM Indicate the microflora present in tertiary peritonitis:,Fungi,Bacteria with low pathogenesis,Enterococci,Clostridia,Staphylococci,"A,B"
"CS Choose the false statement, which does not characterize the deep venous system of the inferior limbs:",The deep venous system drains about 90% of the total inferior limbs’ blood flow,The venous circulation within the foot region is bidirectional,The gravitational force is the most important factor which determines the venous return,Deep veins are located below the aponeurosis (subaponeurotic),Doppler examination is the method of choice in evaluation of the vessels’ permeability,C
CS Indicate the signs characteristic for trophic disturbances in varicose disease:,"Decrease of local temperature, decrease of the hair follicle","Brown skin coloration, inductive cellulitis, eczema, presence of trophic ulcers","Hypertrophy and elongation of the affected limb, presence of angiomas, congenital varicose veins","Pigmentation of the lower limb, cutaneous atrophy, arteriovenous fistulae","Bone hypertrophy, hyperpigmentation, circular trophic ulcers, angiomas",B
"CS In case of ascending thrombophlebitis of the magna saphenous vein with the spread of the process to the upper third of the thigh, it is indicated:",The elastic bandage of the limb,Administration of platelet antiaggregant (antiaggregant),Local application of the ointments with heparin,Emergency surgery,Administration of the drugs that improve blood rheological qualities,D
CS Indicate the optimal pathogenetic procedure in varicose vein complicated with trophic ulcer of the leg:,Troianov-Trendelenburg,Babcock,Linton,Madelung,Narath,C
"CS According to CEAP classification (2004), the C5 stage of varicose disease is characterized by:","Ache in the leg, fatigue predominantly in orthostatism",Heavy feeling in the legs,"Eczema, pigmentary dermatitis, Lipodermatosclerosis, healed ulcer",Feeling tension in the muscle of the posterior leg region,"Eczema, pigmentary dermatitis, lipodermo-sclerosis, active ulcer",C
CM Which of the factors listed below determine the appearance of trophic cutaneous disorders in varicose disease:,Occlusion of the tibial artery,Insufficiency of the valves of perforator veins,Thrombosis of the deep veins of the leg,Insufficiency of the valve of the magna saphenous vein,Lymphostasis,"B,D"
CM Functional tests performed for the diagnosis of varicose disease can provide the following data:,The evaluation of the insufficiency of the valves of the superficial veins,Diagnosis of superficial vein thrombophlebitis,Assessment of the location of the insufficient perforated veins,Highlighting arteriovenous fistulae,Assessment of the permeability of deep veins,"A,C,E"
CM The physiological flow of the venous blood within the lower limbs is characterized by:,Flow from the periphery to the right atrium,Flow from the superficial veins into the deep ones,Flow from deep veins into superficial veins,Two-way (bidirectional) flow,Flow from the heart to the periphery,"A,B"
CM List the complications that may occur as a result of varicose vein sclerotherapy:,Infiltrations,Acute thrombophlebitis of the superficial and deep veins,Thromboembolism of the pulmonary artery,Regional skin necrosis,Arteriovenous fistula,"A,B,C,D"
CM List the methods that can be used to prevent massive pulmonary thromboembolism in the case of a floating inferior vena cava thrombus:,Thrombectomy,Plication of inferior cava vein,Resection of the inferior cava vein,Appling cava-filters,Creation of the aortocaval fistula,"B,D"
CM Indicate the specific methods in diagnosis of lung embolism:,X-ray of the thorax,Electrocardiography (ECG),Cardiac ultrasound,Angiopulmonography,Pulmonary scan perfusion,"D,E"
CM Indicate the factors involved in the thrombi formation:,Lesion to the venous wall,Presence of the congenital arteriovenous fistulae (șunturi),Hypercoagulation,Disturbance of the heart rate,Slow blood flow in the veins,"A,C,E"
CM Select the characteristics of post-thrombotic (post-phlebitic) syndrome:,Elongation of lower limbs,Pain in the lower limb,Increased limb volume,Deformation of leg joints,Trophic ulcers,"B,C,E"
"CM The aims of the surgery for varicose veins are, EXCEPT:",To stop the  venous reflux through the valve of the magna saphenous vein,Modeling of the incompetent valves,Suspension of reflux through the collaterals of the magna saphenous vein,Insertion of cava-filters,To stop the reflux through communicating and collateral veins,"B,D"
CM Indicate the factors that influence positively the venous blood circulation:,Residual systolic force,Diastolic aspiration of atria,Thoracic aspiration,Intraabdominal pressure,Musculovenous pump,"A,B,C,E"
